country,Calories 2000,Population 2000,Requierments 2000,Sufficiency 2000
Afghanistan,2.2836079563445396e+16,19445027.757722855,1.6725907994936982e+16,136.53118007320137
Albania,1.0068587383244016e+16,2927076.7642822266,2517765326102866.0,399.901741391789
Algeria,2.0371706417665932e+16,25647692.486624837,2.2061215348142044e+16,92.34172322868694
Angola,1.3063030079936026e+16,14172930.737222195,1.2191041251419308e+16,107.15270181220328
Argentina,4.7441444380263654e+17,32036182.176091075,2.755636259626966e+16,1721.614897994043
Armenia,7610412703700249.0,2921641.2955474854,2513089932932983.5,302.8308937125171
Australia,3.0872952584392403e+17,12499708.155725874,1.0751795841134752e+16,2871.4228804714776
Austria,3.1303174165556996e+16,7944847.985534668,6833870236417446.0,458.0592414345757
Azerbaijan,2.566119288203999e+16,6341322.702545166,5454575915781385.0,470.45257556680184
Bangladesh,7.937121323588998e+16,119931188.59765625,1.0316046092611725e+17,76.93956824479008
Belarus,6.558604641370143e+16,9971178.170715332,8576846007240640.0,764.6872330263733
Belgium,2.265201360228241e+16,10655538.871582031,9165508274050768.0,247.144107287693
Belize,1033942627966508.9,173231.60052490234,149007543126001.97,693.8860988347407
Benin,1.332648417242971e+16,5745425.961975098,4942007140799857.0,269.65732328490395
Bhutan,660052271281939.0,550330.0091209412,473373924383002.94,139.43570553495385
Bolivia,2.406555537062289e+16,7954405.201395035,6842091007051458.0,351.7280805797662
Bosnia and Herzegovina,1.4441865595056788e+16,3727504.469833374,3206264222913637.0,450.42655848035486
Botswana,2520531345873373.0,1635963.0485083237,1407196110666351.8,179.1172763176429
Brazil,9.980831303120383e+17,157959524.76304185,1.3587105716839594e+17,734.5811176511519
Brunei,506506986429364.5,234504.3640475273,201712153170486.28,251.1038519336348
Bulgaria,4.714159714840084e+16,7802636.94229126,6711545452169784.0,702.3955582862122
Burkina Faso,5.956497762386951e+16,11683553.548919678,1.0049769233964558e+16,592.6999539707001
Burundi,3583290835196196.0,6670096.04296875,5737374825180161.0,62.455233349403414
Cambodia,3.550593840578428e+16,12144963.580963135,1.0446657417414678e+16,339.87846051690696
Cameroon,1.7201833569552964e+16,15287701.272506714,1.3149926455439146e+16,130.81315418640875
Canada,4.344452705058079e+17,24859696.307693984,2.1383409599887212e+16,2031.6931613567342
Central African Republic,2681258762667454.0,3609335.7326407433,3104619758797259.0,86.36351537317354
Chad,4.772499696783466e+16,7953446.101333618,6841266023946005.0,697.6047532837663
Chile,5.219554556425309e+16,12054117.97334069,1.0368515318891128e+16,503.4042383016434
China,2.8816992493346755e+18,1219139453.3035498,1.0486595639265312e+18,274.79835672738557
Colombia,8.413569093311482e+16,38821278.20171642,3.3392656237781656e+16,251.95866520471847
Costa Rica,9035110040881516.0,3727637.439025879,3206378598192896.5,281.78550237247936
Croatia,2.945311724460541e+16,3907779.8298797607,3361330552643737.0,876.2338836756204
Cuba,2.043680896764945e+16,9019265.609825134,7758045329193224.0,263.42729515573376
Cyprus,956117235092325.8,380704.1021575928,327467868152258.06,291.97284011015506
Czech Republic,5.093095926735494e+16,10903461.812973022,9378762601028674.0,543.0456173586138
Democratic Republic of the Congo,3.4529660449915396e+16,44480160.09577656,3.826022130858352e+16,90.24950527970107
Denmark,4.258058616062818e+16,3455331.4438934326,2972150852272289.5,1432.6522534370747
Djibouti,16678747464472.098,199224.3823852539,171365591843933.94,9.732845015737912
