,Calories 2050,Population 2050,Precipitation 2050,Temperature 2050,max_lat,max_lon,min_lat,min_lon,workability_index 2050,ΔCalories,percent_change_in_production,percent_cropland 2050
0,582681815694.0736,0.0,412.33333333333326,2.0,-64.25,-160.67,-64.33,-160.945,6.0,582681815694.0736,inf,0.329517863336802
1,75240842035.05258,0.0,464.5,18.0,-62.67,-159.92486547085198,-63.0,-160.0,4.0,75240842035.05258,inf,0.10405827263267431
2,69554338716.31071,0.0,501.0,21.5,-61.92,-159.92486547085198,-62.33,-160.0,4.0,69554338716.31071,inf,0.10405827263267431
3,33867030096.114918,0.0,522.0,24.0,-61.42,-159.92486547085198,-61.42,-160.0,7.0,33867030096.114918,inf,0.10405827263267431
4,2864166780486.087,18.671666261889275,788.6,69.6,-56.17,-159.92486547085198,-56.46229729729729,-160.33,1.0,2864166780486.087,inf,1.4776274713839754
5,61898130437.38483,0.0,422.0,0.0,-63.812027027027035,-159.67,-64.0,-159.97486547085202,6.0,61898130437.38483,inf,0.10405827263267431
6,282406242317.77234,0.0,438.71428571428567,8.0,-63.139324324324335,-159.439798206278,-63.86202702702703,-159.83,6.428571428571429,282406242317.77234,inf,0.10405827263267431
7,191157574698.3714,0.0,479.6,16.2,-62.46662162162162,-159.439798206278,-63.18932432432433,-159.97486547085202,3.2,191157574698.3714,inf,0.10405827263267431
8,212987803177.65512,0.0,510.5,20.666666666666668,-61.92,-159.439798206278,-62.25,-159.97486547085202,2.1666666666666665,212987803177.65512,inf,0.10405827263267431
9,138504591709.66708,0.0,527.75,20.25,-61.42,-159.439798206278,-61.67,-159.83,1.25,138504591709.66708,inf,0.10405827263267431
10,296683351031.61176,17.337975814611465,594.0,7.857142857142858,-60.44851351351351,-159.58,-61.17121621621622,-159.97486547085202,5.0,296683351031.61176,inf,0.10405827263267431
11,193970764417.5384,8.002142683666833,659.0,14.2,-59.77581081081081,-159.58,-60.49851351351351,-159.97486547085202,4.4,193970764417.5384,inf,0.10405827263267431
12,257425325534.1397,0.0,699.8571428571429,38.0,-59.10310810810811,-159.439798206278,-59.58,-159.97486547085202,1.8571428571428568,257425325534.1397,inf,0.10405827263267431
13,73603529707.06288,0.0,709.5,48.0,-59.0,-159.58,-59.15310810810811,-159.67,1.0,73603529707.06288,inf,0.10405827263267431
14,2182187781846.3064,0.4445634824259351,737.0,69.0,-56.412297297297286,-159.83,-56.5,-159.83,1.0,2182187781846.3064,inf,5.6191467221644125
15,559657693504.67,2120.56781117171,2931.0,194.0,-22.104459459459466,-159.58,-22.17,-159.67,2.5,559657693504.67,inf,0.5202913631633715
16,28045013944707.31,16303.921154488742,2550.833333333333,222.83333333333331,-22.0,-159.439798206278,-22.154459459459463,-159.75,2.333333333333333,28045013944707.31,inf,8.203260492542492
17,47842741987.411385,0.0,423.0,8.0,-63.812027027027035,-159.25,-63.92,-159.25,6.0,47842741987.411385,inf,0.10405827263267431
18,236693876765.1181,0.0,446.4,9.8,-63.139324324324335,-159.17,-63.86202702702703,-159.489798206278,6.0,236693876765.1181,inf,0.10405827263267431
19,204497152592.5983,0.0,489.0,13.6,-62.46662162162162,-159.08,-63.0,-159.33,4.0,204497152592.5983,inf,0.10405827263267431
20,134554887182.1945,0.0,533.3333333333334,13.0,-61.793918918918926,-158.954730941704,-62.08,-159.25,2.6666666666666665,134554887182.1945,inf,0.10405827263267431
21,192625897736.5863,0.0,553.8,18.0,-61.12121621621622,-158.954730941704,-61.67,-159.33,2.2,192625897736.5863,inf,0.10405827263267431
22,322980385155.70825,0.0,594.25,14.0,-60.58,-158.954730941704,-61.17121621621622,-159.33,3.0,322980385155.70825,inf,0.10405827263267431
23,310999487677.4268,0.0,650.5714285714286,16.428571428571427,-59.77581081081081,-158.954730941704,-60.49851351351351,-159.489798206278,4.857142857142857,310999487677.4268,inf,0.10405827263267431
24,184888333105.05148,0.0,684.8,41.0,-59.10310810810811,-158.954730941704,-59.58,-159.489798206278,3.0,184888333105.05148,inf,0.10405827263267431
25,37938101820.923096,0.0,694.0,53.0,-58.83,-159.17,-58.83,-159.17,1.0,37938101820.923096,inf,0.10405827263267431
26,702308924526.9921,4.445634824259352,634.5,66.75,-56.58,-159.17,-56.75,-159.33,1.0,702308924526.9921,inf,0.4682622268470344
27,5951288595174.495,3579.625160493629,2870.0,237.0,-22.104459459459466,-159.42,-22.17,-159.489798206278,2.0,5951288595174.495,inf,11.550468262226847
28,27388602251227.15,5823.781619779748,2064.0,249.0,-22.08,-159.42,-22.154459459459463,-159.489798206278,2.0,27388602251227.15,inf,46.61810613943809
29,47466934412.38696,0.0,425.0,8.0,-64.0,-158.92,-64.0,-159.00473094170403,7.0,47466934412.38696,inf,0.10405827263267431
30,322564529909.0267,0.0,450.28571428571433,8.571428571428571,-63.139324324324335,-158.46966367713003,-63.86202702702703,-159.00473094170403,6.0,322564529909.0267,inf,0.10405827263267431
31,375009509991.03,0.0,497.0,13.333333333333336,-62.46662162162162,-158.46966367713003,-63.18932432432433,-158.83,3.2222222222222223,375009509991.03,inf,0.10405827263267431
32,258025174458.73398,0.0,531.6666666666666,13.166666666666664,-61.92,-158.46966367713003,-62.33,-158.83,2.6666666666666665,258025174458.73398,inf,0.10405827263267431
33,173794766960.16107,0.0,569.75,14.5,-61.12121621621622,-158.46966367713003,-61.58,-159.00473094170403,3.5,173794766960.16107,inf,0.10405827263267431
34,153061815350.19067,0.0,602.5,18.0,-60.75,-158.46966367713003,-60.92,-158.67,2.0,153061815350.19067,inf,0.10405827263267431
