,Country,Calories2000,Population2000,Caloryrequirements2000,Cropland2000,Sufficiency2000,Percentageoftotalcal2000,Yield2000,Calories2050,Population2050,Caloryrequirements2050,Cropland2050,Sufficiency2050,Percentageoftotalcal2050,Yield2050,diffCalories,diffPopulation,diffCaloryrequirements,diffYield,gdp2017
0,Afghanistan,2.28360795634454e+16,19445027.75772285,1.6714459734844622e+16,15.554691276551392,136.6246945801008,0.13534478180095602,2473384673.240557,1.99260449060158e+16,81278931.05359542,6.986533716039429e+16,15.23860404867525,28.520645166673017,0.14272115489687434,2536893895.813781,-9.111627793522711,317.9933917621404,317.9933917621404,2.567705026247136,585.85006378237
1,Albania,1.0068587383244016e+16,2927076.764282226,2516042009657895.0,50.13049146602558,400.1756466941121,0.059674462012752685,6714504501.839081,7271768260648355.0,3394159.579993378,2917534720972808.0,45.65623106248083,249.24358940358024,0.05208435337756564,5489199926.523618,-27.77767144624561,15.957313501673374,15.957313501673358,-18.24862244086449,4537.8624924478
2,Algeria,2.037170641766593e+16,25647692.48662484,2.2046115269190544e+16,16.241037290848375,92.40497098432304,0.12073894524459862,508894731.4221539,5.152164976904762e+16,45122570.68817755,3.8786233699290216e+16,32.91099079962818,132.83488716253072,0.3690260356188784,4476354727.773889,152.9886156007716,75.93228206283578,75.93228206283578,779.6229261922789,4123.38993650709
3,Angola,1.3063030079936026e+16,14172930.737222195,1.2182696938447768e+16,6.381354054957018,107.22609407371849,0.07742191258863862,1874494007.6105163,1.6889556121377826e+16,35196434.798339106,3.0253975441782336e+16,9.86753785689178,55.82590676018219,0.12097217318881345,2181181735.593653,34.55200098936752,148.33561562467204,148.33561562467204,16.361094073279144,4170.31228024945
4,Argentina,4.744144438026365e+17,32036182.176091075,2.7537501294013484e+16,33.925728297770746,1722.7940862803405,2.8117575611565324,6539490389.200214,3.051677842510252e+17,46882479.42071399,4.029900724806023e+16,43.180644097694476,757.2588137781341,2.1857773989296443,4466532014.364208,-35.66562511227467,46.342279997717256,46.342279997717284,-31.699081296295496,14401.974854608101
5,Armenia,7610412703700250.0,2921641.295547485,2511369816620229.0,56.86274033084696,303.0383121328682,0.04510536250041548,4633777030.607477,5590078375901486.0,2860925.9292242355,2459180405612922.0,54.78070998447654,227.31469245373336,0.04003917714407219,3656898150.7745275,-26.546974605154592,-2.078125278958054,-2.078125278958053,-21.081698005328587,3936.7983196528703
6,Australia,3.0872952584392403e+17,12499708.155725876,1.0744436637958068e+16,30.625231356733128,2873.3896084718012,1.829776875438168,3868227275.339664,3.692032602793397e+17,18536726.423116602,1.593370661515045e+16,36.343333172195976,2317.120988836869,2.6444342541278867,5851314068.249769,19.58907732749792,48.297273761750056,48.297273761750056,51.266036138891884,53799.93808995991
7,Austria,3.1303174165557e+16,7944847.985534667,6829192707165962.0,25.78146521186821,458.37298064103777,0.1855275230296763,10885929598.806862,1.831037389911327e+16,7481197.828297355,6430650623258699.0,25.50454263356077,284.7359462025101,0.13114884171951582,8631206543.441505,-41.49998122375457,-5.83585939065781,-5.8358593906578085,-20.71226930966449,47290.9116498316
8,Azerbaijan,2.566119288203999e+16,6341322.702545166,5450842462040261.0,59.15708124492211,470.77480335828596,0.1520886517198639,5847983887.331536,1.6620130373812286e+16,8678220.739491848,7459581592148706.0,58.44050830430463,222.80244767756358,0.11904239966712984,3919620114.963719,-35.224613644561146,36.851902143518735,36.85190214351872,-32.974847563195674,4131.61831005055
9,Bangladesh,7.937121323588998e+16,119931188.59765624,1.0308985143883037e+17,74.79319985456921,76.99226657920433,0.470416977959938,8024165907.228915,6.018735201729786e+16,205940431.4595701,1.7702124637186e+17,78.72124925391283,34.00007244941954,0.43109450122237214,5756878725.4196005,-24.169797129820854,71.71549274847655,71.71549274847655,-28.255736583994736,1516.51342307197
