,Unnamed: 0,Country,Calories2000,Population2000,Caloryrequirements2000,Cropland2000,Sufficiency2000,Percentageoftotalcal2000,Yield2000,Calories2050,Population2050,Caloryrequirements2050,Cropland2050,Sufficiency2050,Percentageoftotalcal2050,Yield2050,diffCalories,diffPopulation,diffCaloryrequirements,diffYield,gdp2017,diffCropland,Scenario
0,0,Afghanistan,2.28360795634454e+16,19445027.75772285,1.6714459734844622e+16,15.554691276551392,136.6246945801008,0.13534478180095602,2473384673.240557,1.7929572120197428e+16,57148882.08663252,4.912375031961715e+16,13.424788088547821,36.49878521802804,0.1396401878456448,2530081341.0341425,-20.8328012468626,193.89971975707297,193.89971975707297,2.2922705233433605,585.85006378237,-13.692995573717285,SSP1
1,1,Albania,1.0068587383244016e+16,2927076.764282226,2516042009657895.0,50.13049146602558,400.1756466941121,0.059674462012752685,6714504501.839081,7782158681095203.0,2911399.0700534075,2502565855641157.0,48.72269073929657,310.96718847789975,0.06060948319277479,5494263834.273597,-22.708535121360306,-0.5356092610937577,-0.5356092610937703,-18.17320499571136,4537.8624924478,-2.8082723419600004,SSP1
2,2,Algeria,2.037170641766593e+16,25647692.48662484,2.2046115269190544e+16,16.241037290848375,92.40497098432304,0.12073894524459862,508894731.4221539,5.520070013774551e+16,37697396.670231946,3.2403739742814624e+16,28.942624510520226,170.35286845243226,0.4299174617648944,4550627760.856938,171.0427857045886,46.98163076421389,46.98163076421389,794.2178961334074,4123.38993650709,78.20674869596563,SSP1
3,3,Angola,1.3063030079936026e+16,14172930.737222195,1.2182696938447768e+16,6.381354054957018,107.22609407371849,0.07742191258863862,1874494007.6105163,1.5391225113491984e+16,30282684.16415363,2.603023824040236e+16,7.669518451150624,59.12825296236733,0.11987087877024925,2157055530.296022,21.03016444354732,113.665647039554,113.665647039554,15.074015789770213,4170.31228024945,20.18638027446485,SSP1
4,4,Argentina,4.744144438026365e+17,32036182.176091075,2.7537501294013484e+16,33.925728297770746,1722.7940862803405,2.8117575611565324,6539490389.200214,2.794708668391785e+17,37747540.53258967,3.2446842153300764e+16,39.42970873870171,861.3191555553223,2.1765920614941225,4484520285.980296,-41.021434150531256,17.827837053445887,17.8278370534459,-31.424009837427768,14401.974854608101,16.22361764092956,SSP1
5,5,Armenia,7610412703700250.0,2921641.295547485,2511369816620229.0,56.86274033084696,303.0383121328682,0.04510536250041548,4633777030.607477,5649657217256502.0,2332268.2015079446,2004759439311191.5,55.2107302154934,281.81222676759904,0.0440010051434799,3673586024.8171616,-25.764115072109213,-20.172671263160602,-20.172671263160595,-20.72156254925449,3936.7983196528703,-2.90525941194814,SSP1
6,6,Australia,3.0872952584392403e+17,12499708.155725876,1.0744436637958068e+16,30.625231356733128,2873.3896084718012,1.8297768754381682,3868227275.339664,3.767193178543308e+17,24035346.09622597,2.0660182620663444e+16,32.18057342267827,1823.4074924272547,2.9339883828573288,5873685324.317275,22.027154258419515,92.28725820463137,92.28725820463137,51.84436968744331,53799.93808995991,5.078629603897483,SSP1
7,7,Austria,3.1303174165557e+16,7944847.985534667,6829192707165962.0,25.78146521186821,458.37298064103777,0.1855275230296763,10885929598.806862,1.726109576875357e+16,9241909.54031968,7944114393120288.0,23.917424315294145,217.2815610976337,0.13443391952757164,8760153544.914633,-44.846640275139244,16.32581966510367,16.325819665103666,-19.527740231989213,47290.9116498316,-7.230158880636363,SSP1
8,8,Azerbaijan,2.566119288203999e+16,6341322.702545166,5450842462040261.0,59.15708124492211,470.77480335828596,0.1520886517198639,5847983887.331536,1.692237478236675e+16,7822769.283483251,6724256906850115.0,59.25541576009841,251.66163364650208,0.13179587206892449,3930023837.3834686,-34.04678683836484,23.361791386889816,23.36179138688981,-32.796944842870325,4131.61831005055,0.16622611039441426,SSP1
9,9,Bangladesh,7.937121323588998e+16,119931188.59765624,1.0308985143883037e+17,74.79319985456921,76.99226657920433,0.470416977959938,8024165907.228915,5.5089499525553736e+16,165173462.49475726,1.4197897902393098e+17,71.46852633092315,38.801166133381074,0.4290514023703415,5805176115.479051,-30.59241482089373,37.72352665400429,37.723526654004296,-27.65383738826726,1516.51342307197,-4.445154813687179,SSP1
10,10,Belarus,6.558604641370143e+16,9971178.170715332,8570975476092632.0,54.41177036934922,765.2109914051584,0.38871510831741546,5615332620.133234,4.714416989907466e+16,7901523.150559165,6791951762141894.0,52.012848263276936,694.1181496879091,0.3671711012622474,4384834675.028393,-28.115680261132752,-20.75637386798084,-20.75637386798084,-21.91318000812649,5726.02967250931,-4.408829357670789,SSP1
11,11,Belgium,2.265201360228241e+16,10655538.871582033,9159234825540124.0,56.94057073448121,247.31338407350648,0.1342538604244836,13025545267.657991,1.3586237264777326e+16,13803233.867580796,1.1864914751725762e+16,49.33251840361461,114.50766861010271,0.10581316224673602,9351962238.72104,-40.021944612427866,29.540458102907987,29.540458102907987,-28.20291168968059,43323.8073364711,-13.36139106568426,SSP1
12,12,Belize,1033942627966508.8,173231.60052490234,148905553021192.94,12.518210197710715,694.3613632859973,0.006127966886261843,5043793182.222222,1176153348357028.2,256896.54768032575,220821849972316.1,16.62802514437326,532.6254392418504,0.00916018928945032,4753518957.045944,13.75421774322345,48.2965849775177,48.2965849775177,-5.755077868763611,4905.506284012271,32.830691302931896,SSP1
13,13,Benin,1.332648417242971e+16,5745425.961975098,4938624521264745.0,37.96466284662606,269.84202008167443,0.07898335121316524,2860929848.3162518,1.6024063578787358e+16,13950663.304678088,1.1991641410118668e+16,49.58744730258178,133.62694088956073,0.12479958992840612,2835850733.1195173,20.242630978475294,142.81338576125842,142.81338576125842,-0.8766071356658496,829.797230600794,30.61474430290811,SSP1
14,14,Bhutan,660052271281939.0,550330.0091209412,473049917590133.0,3.3107602757544217,139.5312094428545,0.003911995068403988,4902757233.203125,574859220188957.2,729975.9014199758,627469035463075.8,3.9039113088163546,91.61555195543761,0.0044771536628896965,4550864481.984529,-12.035687741330793,32.643302985782746,32.64330298578276,-7.177445965210352,3110.2301125251893,17.91585568444009,SSP1
15,15,Bolivia,2.406555537062289e+16,7954405.201395035,6837407850989137.0,8.16429296908976,351.9689902239988,0.1426316339241357,2821991246.764541,2.044432483471829e+16,9787766.913362524,8413319744553590.0,11.76153936107348,242.99949907351424,0.15922573841466595,2806731904.419838,-13.168343275583801,23.048382192623983,23.048382192623983,-0.5407296129000332,3393.95581751781,44.06072155424842,SSP1
16,16,Bosnia and Herzegovina,1.4441865595056788e+16,3727504.4698333736,3204069654657022.5,30.553747215004787,450.7350698217798,0.08559398921041374,8269721274.723928,1.1330588349107884e+16,3129692.672513918,2690205578976151.5,29.58968506353707,421.1792748352013,0.08824557969728489,7152796540.492466,-21.531631882184573,-16.037855947793908,-16.037855947793908,-13.506195639813148,5180.63630093473,-3.1552992328033422,SSP1
17,17,Botswana,2520531345873373.0,1635963.0485083237,1406232937421542.2,7.556443315231628,179.2399593836139,0.014938674744143869,1064568889.4917632,4886211039514222.0,2113004.1128335046,1816285510288860.0,12.799431566650481,269.0221890685636,0.038055087028129035,1356896563.9954276,94.115195993926,29.159647875919234,29.15964787591925,27.459723592263185,7595.595849785591,69.38433906928792,SSP1
18,18,Brazil,9.980831303120384e+17,157959524.76304185,1.357780584981917e+17,30.204770775291422,735.0842554029676,5.915434964044107,3978216189.8066382,8.312522083544699e+17,179543405.1851719,1.5433102251204413e+17,33.65630471113915,538.6164070089009,6.474009181232322,3775493926.115523,-16.669842066479244,13.664184198140914,13.66418419814091,-5.095808121503026,9821.40768641008,11.427115145237934,SSP1
19,19,Brunei,506506986429364.5,234504.3640475273,201574088726153.28,17.188885034878787,251.2758408733154,0.003001963509913397,3884119696.2962976,325430780030883.25,371858.04173476546,319639876224161.0,15.381413591611304,101.81169629869996,0.0025345398623917,3673251740.1165032,-35.74999185598269,58.57190685773357,58.57190685773357,-5.428976773832893,,-10.515350120731252,SSP1
20,20,Bulgaria,4.714159714840084e+16,7802636.94229126,6706951649670010.0,61.39493142614882,702.8766511343538,0.2793986227834041,6706112113.227511,3.730357213000183e+16,6067064.140913943,5215096658926102.0,57.43604841629213,715.2997263464612,0.2905299571359574,5878961131.672242,-20.861139285071552,-22.243413530755202,-22.243413530755195,-12.334285016257795,8031.598442456991,-6.448224499800576,SSP1
21,21,Burkina Faso,5.956497762386951e+16,11683553.548919678,1.0042890541812632e+16,69.96777044021265,593.1059128432828,0.35302946274483554,2936186161.588181,5.508170456601498e+16,32513873.75914133,2.7948113036513908e+16,68.52598232068253,197.0855939148784,0.4289906931907279,2835526299.572669,-7.526424713994842,178.2875400279886,178.2875400279886,-3.4282520411125983,670.705913111953,-2.060646080986848,SSP1
22,22,Burundi,3583290835196196.0,6670096.04296875,5733447806134863.0,60.899757197363826,62.49801090649204,0.02123743328497246,2283342891.6666665,3361351377118563.0,15349301.540109,1.3193875871339194e+16,59.721123829344435,25.47660300806955,0.02617908194179954,2172086318.844811,-6.193732752521209,130.12114730026101,130.12114730026107,-4.872530237482058,320.086870120894,-1.9353662843017216,SSP1
23,23,Cambodia,3.550593840578428e+16,12144963.580963135,1.0439507070106386e+16,39.82276177635382,340.11125398301436,0.2104364487265791,4641681101.700521,3.3145485222525908e+16,15460580.25459577,1.3289528272344158e+16,47.28674140146658,249.41054748724602,0.25814569091108885,4077735448.648546,-6.638691648065295,27.300342660802738,27.300342660802738,-12.149599265778232,1384.42318730336,18.742998456588108,SSP1
24,24,Cameroon,1.7201833569552964e+16,15287701.272506716,1.3140925821314958e+16,16.419077904277838,130.90275223722136,0.10195175597366164,1791243558.7994266,2.3805728030735624e+16,28529760.667135663,2.4523469025453136e+16,22.007026993939924,97.07324851156841,0.18540522393557546,2941502782.4224787,38.39668619929087,86.61903551479887,86.61903551479887,64.21567954689587,1446.7028948332004,34.033269847670304,SSP1
25,25,Canada,4.344452705058079e+17,24859696.307693984,2.1368773453686056e+16,30.201808481142386,2033.0847320151972,2.5748684303582987,6320439942.462945,4.1304864690714496e+17,38638087.22359553,3.321233382522213e+16,35.27061102759947,1243.6604096562082,3.2169306806005373,7485120213.964405,-4.9022216458002585,55.42461478757964,55.42461478757964,18.42720256981996,45032.1199081697,16.783109361222454,SSP1
26,26,Central African Republic,2681258762667454.0,3609335.7326407433,3102494762384667.0,2.4748978001845,86.42266846589489,0.015891273332486855,2040752551.4066875,5739587620533037.0,4686781.565257315,4028640263956056.0,6.994601730088746,142.46959878459984,0.04470140659881768,2510017789.5561037,114.87368166319185,29.85163787543439,29.85163787543437,22.9947152498206,418.4112870361821,182.62184117531268,SSP1
27,27,Chad,4.772499696783466e+16,7953446.101333617,6836583432553845.0,37.80874055147473,698.0825647586183,0.2828563144175837,1670132126.237624,5.921576231318877e+16,19500873.517623574,1.6762463353911284e+16,42.322467713702714,353.26408215157477,0.4611878140428085,2373834390.997295,24.13903426458861,145.18772453054913,145.1877245305492,42.134526586524046,669.886425875931,11.938316633643934,SSP1
28,28,Chile,5.219554556425309e+16,12054117.97334069,1.0361418456934324e+16,10.450987606170123,503.7490357251376,0.3093523433279653,8778771639.315767,2.518041766572185e+16,13313926.099386996,1.1444318026880576e+16,13.201223425155876,220.02549742656345,0.1961116656494128,5516671590.551947,-51.6166719177245,10.451267598612684,10.45126759861269,-37.158957799454434,15346.4496997595,26.315559089956697,SSP1
29,29,China,2.8816992493346755e+18,1219139453.3035498,1.0479417955733988e+18,34.938217635413096,274.98657477993856,17.07924317891699,8649827296.411665,2.0730782476021773e+18,1162708006.5654638,9.994347347435084e+17,33.04328288287169,207.4250749484113,16.145674529945257,8191065622.99217,-27.760801354020966,-4.628793415320248,-4.628793415320253,-5.303709053356576,8826.99409574835,-5.423673217436024,SSP1
30,30,Colombia,8.413569093311482e+16,38821278.20171642,3.33698002102404e+16,18.367384734338554,252.13123963294086,0.4986550646479284,5447419654.160178,5.723037312804365e+16,53916965.60719329,4.6345675711803176e+16,18.090176506600454,123.48589647052742,0.44572508482083945,4755536710.62072,-30.611796448042806,38.8850859753748,38.885085975374814,-12.701113324564032,6301.58987782717,-1.5092416898081766,SSP1
31,31,Costa Rica,9035110040881516.0,3727637.439025879,3204183951650670.0,33.34235945363608,281.9785061412277,0.0535492527792821,5213521797.769518,6975261213393084.0,5771749.587209859,4961251651425914.0,28.56569474824265,140.5947874341009,0.05432515508908448,5579432115.200633,-22.052465995578967,54.836667503751535,54.836667503751535,7.018486382614938,11630.6683963387,-14.326114839100027,SSP1
32,32,Croatia,2.945311724460541e+16,3907779.8298797607,3359029847268895.5,45.61532088091153,876.8340438699188,0.17456261333097478,10918527234.219269,2.0062437300284188e+16,3420170.7995018214,2939893314981778.0,44.34846110721229,682.4205898236323,0.15625149861202078,8029214524.044481,-31.883484068366947,-12.477904375511933,-12.47790437551194,-26.46247656112009,13294.5149256785,-2.777268139813488,SSP1
33,33,Cuba,2.043680896764945e+16,9019265.609825134,7752735236565440.0,55.17217755822258,263.60772480995,0.1211247947682756,4048484779.3594313,1.7861987549041324e+16,7157741.715979467,6152615835513050.0,52.884960564116476,290.31533946815745,0.1391138215638151,3929978503.2014756,-12.569147078678606,-20.63941760200317,-20.639417602003178,-2.9271760329232546,,-4.145598552263839,SSP1
34,34,Cyprus,956117235092325.8,380704.10215759283,327243728612112.8,39.226952600702774,292.1728215074907,0.0056667116700210044,4394396026.086956,1301451429272561.2,646462.5174378006,555683018426597.5,37.15181951168017,234.20752229528054,0.010136043450299706,6636998532.549185,36.11839442962128,69.80707950716985,69.80707950716983,51.03323626612645,25233.570984591002,-5.290069585944392,SSP1
35,35,Czech Republic,5.093095926735494e+16,10903461.812973022,9372343187886286.0,51.80901028141757,543.4175664115991,0.3018573984996887,11775562124.395302,3.30574148832787e+16,12604375.309562527,1.0834405906717208e+16,47.33469579529632,305.11515968571456,0.2574597761199458,8365501459.654877,-35.09367316301969,15.599756533890405,15.59975653389039,-28.95879303864264,20368.1385576071,-8.636170546045081,SSP1
36,36,Democratic Republic of the Congo,3.45296604499154e+16,44480160.09577656,3.823403361432714e+16,15.189405685990046,90.31132000934471,0.2046502485801376,1524701192.8550484,6.54149324857745e+16,119207954.95475689,1.0246817788023514e+17,15.796721966104915,63.839265847228695,0.5094685695222904,2278280527.1852226,90.997993623143,168.00253123656316,168.00253123656313,49.42472255295312,,3.9982886274150116,SSP1
37,37,Denmark,4.258058616062818e+16,3455331.4438934326,2970116525884697.0,73.31521228211791,1433.6335221038125,0.2523664417465152,18609026079.43925,2.4035900109208468e+16,4318814.3596857935,3712344853226915.0,70.56334101614034,647.4587103166218,0.1871978641647621,11018331644.54666,-43.55197455822463,24.98987231220274,24.989872312202724,-40.79039065499187,56307.5082995258,-3.7534792307336335,SSP1
38,38,Djibouti,16678747464472.098,199224.3823852539,171248298488804.62,0.6551817165760977,9.739511347940473,9.885153141197244e-05,648905279.0123488,36885963350711.55,301976.36585061,259571334676038.1,2.230946299624759,14.210337746557276,0.0002872775109540212,2908176022.471475,121.15547602890112,51.57600803432657,51.576008034326584,348.16649155602465,1927.58970569415,240.5080213903741,SSP1
39,39,Dominican Republic,8559983739163358.0,6228600.94934082,5353949661029636.0,40.565244536940654,159.88166271845668,0.050733276181579405,5141094594.599999,4363952455072977.5,8181069.414972275,7032242742374793.0,28.59652927887861,62.056339846984116,0.033987600846837336,4486663134.158875,-40.8322997520916,31.34682220793236,31.34682220793236,-12.729418772580294,7052.258838968579,-29.504851738691627,SSP1
40,40,East Timor,4828234154507234.0,532154.5745544435,457426768422635.6,86.75899773714548,1055.5206839242576,0.02861595819502004,5222564096.8253975,3366244974064167.5,1094387.9176864657,940708494345343.8,67.36369192144429,357.8414561257682,0.02621719455219225,4653306952.152765,-30.279997482687893,105.65226158259806,105.65226158259807,-10.899955158399363,,-22.355382521203538,SSP1
41,41,Ecuador,1.381854836851027e+16,10786739.825201988,9272011885248000.0,16.230402095082034,149.03505883653924,0.08189971525304154,3977327819.908815,1.3344162209626388e+16,15635042.378459375,1.343949155246422e+16,20.58895193983169,99.29067746003864,0.1039278185281348,4163376768.129484,-3.0956842747245745,44.94687581070497,44.94687581070494,4.677737331315455,6198.94732333954,26.85423207149217,SSP1
42,42,Egypt,6.37792714502162e+16,58465129.65344334,5.025516382185855e+16,34.32489248480064,126.91088158879968,0.3780067219450112,6975493487.140233,5.385656937139615e+16,92843187.20911856,7.980568264527808e+16,39.59785720346732,67.48462964821556,0.4194490204968119,9081421401.30268,-15.35180277087568,58.80096009271485,58.80096009271488,30.19037890358381,2412.72708185213,15.361926394967131,SSP1
43,43,El Salvador,2975390935980500.0,5219267.225097656,4486351625013319.0,26.763100543851728,66.32094817070134,0.017634534679387196,6325528013.207546,502953937517266.1,534890.3898034537,459778406815303.7,21.442507804370454,109.3905085715142,0.0039171365519371035,5691029012.651464,-20.267321065701207,-89.75161901595398,-89.75161901595398,-10.030767379913003,3889.3087689540703,-19.880330123796398,SSP1
44,44,Equatorial Guinea,126733570377487.72,293441.8756713867,252235300280232.25,13.102555208694662,50.244184789633856,0.0007511240001569369,228311052.57777783,759654548617120.0,847377.1702532023,728384231120396.4,12.746924285830527,104.29310742334768,0.00591638791799149,2977816238.058596,499.41067418397415,188.771726364694,188.771726364694,1204.2803685748656,9850.013584781407,-2.714210451318242,SSP1
45,45,Eritrea,3777663260645124.0,2691501.7985076904,2313547658452248.0,29.55409594128551,163.28443664620082,0.02238943897129958,1097721176.8577492,4311505125321795.0,8276905.70658805,7114621222740423.0,31.10073069490341,60.60062778241736,0.03357912735235793,1670221009.118377,14.136712252329405,207.51997680912567,207.51997680912567,52.15348344644504,,5.2332331758364985,SSP1
46,46,Estonia,5934486710113375.0,1076654.5895996094,925465368855084.2,26.41745438739677,641.2435202686269,0.03517249126100807,5406978804.76731,4939553989929583.0,937699.9620864476,806023444910458.4,27.904581789682823,612.8300635818753,0.0384705358501258,4607253039.225528,-16.763533966736716,-12.906147324819988,-12.906147324819988,-14.790621424975214,19704.655040239,5.6293365003235545,SSP1
47,47,Ethiopia,1.1098720394334072e+17,65362296.38148498,5.618379591211496e+16,28.91136432586325,197.5430854066029,0.6577985007748537,3086194593.291893,9.087549988076925e+16,130023262.7131711,1.1176474604667405e+17,36.63110193125093,81.3096285682238,0.7077621143910353,2832244012.9106817,-17.94671581510055,98.9270113067852,98.9270113067852,-8.228599095248075,767.563477815809,26.70139505828107,SSP1
48,48,Falkland Islands,,6.942185163497925,5967328811.913729,0.7284079084287199,,,,209627309399.24084,72.90872152350644,62670514303.56804,0.37460978147762747,334.4911266944974,1.6326322048205557e-06,2079026873.8338246,,950.2272671558977,950.2272671558977,,,-48.57142857142857,SSP1
49,49,Fiji,,325765.5844268799,280019952233735.28,37.4135129707724,,,,1273434870839631.8,521920.6395490222,448629933740350.8,29.345192431849426,283.8497333922095,0.009917843180034712,3807649121.3268757,,60.213559841576995,60.213559841576966,,5589.38883340896,-21.565257839396118,SSP1
50,50,Finland,1.7041687378351214e+16,4213890.265101314,3622154724624461.5,11.870649079497356,470.48479907544714,0.10100260219075263,3303753817.851052,2.179694571183279e+16,5121003.237817188,4401886358146709.0,12.923127661873146,495.1728404231177,0.16976030288156913,7237465890.349291,27.903682469391903,21.52673457656033,21.52673457656033,119.06795389061243,45703.327865074,8.866226061670039,SSP1
51,51,France,5.169772248232321e+17,53418928.65773392,4.591757560097163e+16,52.86620674002908,1125.8809248027735,3.064018475472827,16958097997.328287,2.649441653632024e+17,70575381.91944405,6.066483391340612e+16,49.45912456611358,436.73434553762667,2.0634543184802885,9841087944.132544,-48.74128373461812,32.11680520894582,32.116805208945806,-41.96820925505333,38476.6586361575,-6.444726005536793,SSP1
52,52,French Guiana,34046609187587.586,91335.78842175008,78509960332625.81,0.16534683151378338,43.36597425771349,0.00020178730235870788,5146854700.84746,92216324809844.23,115682.57909292213,99437852923798.52,1.6374988175196277,92.7376467797547,0.000718204808935499,5858465798.909004,170.85318335743008,26.65635354101161,26.656353541011626,13.826135366603115,,890.3418181818167,SSP1
53,53,Gabon,992112145757590.0,791385.5547332764,680255238209856.0,9.450130700892608,145.84410233553064,0.00588004615751042,583765243.9517154,3785455302016661.0,1351897.521019115,1162057311630005.8,8.118886158466179,325.754613316519,0.029482114013163526,2948399555.861538,281.59302765475553,70.82666128202834,70.82666128202834,405.0659638286734,7220.687235324929,-14.087049000292525,SSP1
54,54,Gambia,3672282435498689.5,859410.9399414062,738728158700134.2,63.68763960046928,497.10876622876214,0.021764868333164315,4294420877.707007,2689948694172268.5,1858646.47801062,1597646046335978.5,65.2067578225972,168.3695021398115,0.020950022590122262,3159750820.789456,-26.749950707236906,116.26981827079607,116.26981827079612,-26.42195744734281,,2.385263815173205,SSP1
55,55,Georgia,1.1243103230955478e+16,4355307.855484009,3743713749877667.0,36.48020133319017,300.31952179364316,0.06663557767573773,4235572827.9652843,7524285345525878.0,2930615.8529593563,2519084121807538.5,36.6846298367164,298.69130928930315,0.058601098342434765,3170365343.81421,-33.04190222485451,-32.711625671437766,-32.711625671437766,-25.149077289335303,4078.254879179121,0.5603820594603782,SSP1
56,56,Germany,3.0803873647832166e+17,79236299.7531128,6.810954236028193e+16,48.685531763381604,452.26957310750396,1.825682707886416,17708404255.33996,1.6017693662080042e+17,79886455.60713248,6.86684000785009e+16,42.963709266056966,233.2614950074387,1.24749979354344,10833409626.662851,-48.00060804623235,0.820527783409201,0.8205277834092067,-38.82334359180871,44469.909060724414,-11.752613743921867,SSP1
57,57,Ghana,3.0439012453820656e+16,16648458.295532228,1.4310598539382114e+16,46.252753514461844,212.7025810279974,0.18040581297472807,2687095752.052118,2.988965836335105e+16,33581264.99985681,2.886561586225192e+16,49.33896823684678,103.5476204837822,0.23278846146020185,2697841909.596225,-1.7078741256799432,101.70795639899383,101.70795639899382,0.3999171795757983,1641.48662461369,6.672499446805844,SSP1
58,58,Greece,4.320385252668264e+16,6662394.648025513,5726827879576530.0,46.30942965502994,754.4115771448213,0.2560604142641337,8508596293.408042,3.0624949033494296e+16,7057903.002291275,6066796973194523.0,44.49376098000722,504.7960096374953,0.2385150971329121,6645003497.102886,-29.11337144812665,5.936429394541744,5.936429394541747,-21.902470537343007,18613.4238733817,-3.920732102615111,SSP1
59,59,Guatemala,1.4014995139931152e+16,11539085.662155153,9918709558047014.0,27.812560058591252,141.2985737500584,0.08306401516448618,4864066946.589019,1.2077151420665564e+16,18344733.69106814,1.5768674462499896e+16,28.79020361842657,76.58951581115275,0.09406000777465656,4441888603.464879,-12.110368145296517,58.979092695650365,58.979092695650365,-8.679533973523885,4470.9895719118895,3.515115321192181,SSP1
60,60,Guinea,1.7820145047736422e+16,7768911.815673827,6677962373957831.0,23.74387205034159,266.8500367302152,0.10561636188236258,2952157325.6093125,1.8562861268340744e+16,12381025.22052512,1.0642419753932882e+16,30.427542356844555,174.42331441100018,0.14457240903946364,2801904002.017106,4.225869728052562,59.36627309305179,59.366273093051795,-5.089610986812664,825.3449297663292,28.149032694971968,SSP1
