,Country,Calories2000,Population2000,Caloryrequirements2000,Cropland2000,Sufficiency2000,Percentageoftotalcal2000,Yield2000,Calories2050,Population2050,Caloryrequirements2050,Cropland2050,Sufficiency2050,Percentageoftotalcal2050,Yield2050,diffCalories,diffPopulation,diffCaloryrequirements,diffYield
0,Afghanistan,2.28360795634454e+16,19445027.75772285,1.6714459734844622e+16,15.554691276551392,136.6246945801008,0.13534478180095602,2473384673.240557,1.866177743189146e+16,81596749.09529506,7.013852560358825e+16,14.86246746847427,26.607028407418838,0.1321956111128661,2528666719.925279,-15.324951065852838,319.62783551639734,319.62783551639734,2.2350767869962183
1,Albania,1.0068587383244016e+16,2927076.764282226,2516042009657895.0,50.13049146602558,400.1756466941121,0.059674462012752685,6714504501.839081,7739353038648334.0,2869841.328341134,2466843859808830.0,48.2873742629206,313.7350184477465,0.054823743788409166,5486283883.110913,-23.13367561840861,-1.9553787122876447,-1.955378712287656,-18.29205145951964
2,Algeria,2.037170641766593e+16,25647692.48662484,2.2046115269190544e+16,16.241037290848375,92.40497098432304,0.12073894524459862,508894731.4221539,4.359649414760492e+16,37562929.99068146,3.2288155546740016e+16,20.01739122681843,135.0231792723343,0.3088272383086175,4815719210.648234,114.0858577317983,46.45734703139618,46.45734703139618,846.3095043625736
3,Angola,1.3063030079936026e+16,14172930.737222195,1.2182696938447768e+16,6.381354054957018,107.22609407371849,0.07742191258863862,1874494007.6105163,3.063837103412081e+16,45792420.66100527,3.93620199896836e+16,12.483966395104499,77.8373951391489,0.21703496342405054,2206198707.094164,135.48387964908244,223.09775239881188,223.09775239881185,17.695692711575177
4,Argentina,4.744144438026365e+17,32036182.176091075,2.7537501294013484e+16,33.925728297770746,1722.7940862803405,2.8117575611565324,6539490389.200214,2.9687035949917114e+17,38661413.01349674,3.323238409107646e+16,36.591994393369006,893.3164671110268,2.1029593102006854,4486783850.884408,-37.41906424745021,20.680463111956406,20.680463111956406,-31.389396056087104
5,Armenia,7610412703700250.0,2921641.295547485,2511369816620229.0,56.86274033084696,303.0383121328682,0.04510536250041548,4633777030.607477,6011981605944897.0,2278254.9229516727,1958330975396184.0,58.64607544711021,306.99517504841754,0.04258745370304437,3656565605.2937055,-21.00321178348428,-22.021401928303753,-22.021401928303753,-21.08887455868071
6,Australia,3.0872952584392403e+17,12499708.155725876,1.0744436637958068e+16,30.625231356733128,2873.3896084718012,1.829776875438168,3868227275.339664,4.4633327898299264e+17,23546804.09148129,2.024024412693503e+16,21.697342717560435,2205.1773495608554,3.1617192301486896,5950059908.293184,44.571518950868864,88.37883091450384,88.37883091450384,53.818777563185385
7,Austria,3.1303174165557e+16,7944847.985534667,6829192707165962.0,25.78146521186821,458.37298064103777,0.1855275230296763,10885929598.806862,1.7605981240190538e+16,8464016.134407977,7275456668733738.0,24.879078606991747,241.9914246187764,0.12471660096595355,8654373268.135956,-43.74888058445946,6.534651761979182,6.534651761979193,-20.499455838070947
8,Azerbaijan,2.566119288203999e+16,6341322.702545166,5450842462040261.0,59.15708124492211,470.77480335828596,0.1520886517198639,5847983887.331536,1.7641454064760694e+16,7676358.561602434,6598405910589412.0,61.89529715205456,267.3593335088542,0.1249678820531418,3918705767.2552977,-31.244581634189487,21.052955695212226,21.05295569521222,-32.99048282700686
9,Bangladesh,7.937121323588998e+16,119931188.59765624,1.0308985143883037e+17,74.79319985456921,76.99226657920433,0.470416977959938,8024165907.228915,5.772995309494745e+16,164951305.31204674,1.4178801826360258e+17,74.86876537402921,40.71567809602915,0.4089453138510703,5751883732.817477,-27.26588048569324,37.53828944814634,37.53828944814635,-28.31798595246336
