,Country,Calories2000,Population2000,Caloryrequirements2000,Cropland2000,Sufficiency2000,Percentageoftotalcal2000,Yield2000,Calories2050,Population2050,Caloryrequirements2050,Cropland2050,Sufficiency2050,Percentageoftotalcal2050,Yield2050,diffCalories,diffPopulation,diffCaloryrequirements,diffYield
0,Afghanistan,2.28360795634454e+16,19445027.75772285,1.6714459734844622e+16,15.554691276551392,136.6246945801008,0.13534478180095602,2473384673.240557,1.9257792383483068e+16,70262819.50189197,6.039616307333879e+16,14.523743052206726,31.885787777773924,0.13835014706254922,2545454270.195712,-14.294065388081783,261.34080330117376,261.3408033011737,2.9138046230686747
1,Albania,1.0068587383244016e+16,2927076.764282226,2516042009657895.0,50.13049146602558,400.1756466941121,0.059674462012752685,6714504501.839081,7423635572296098.0,3056459.0590510294,2627255795683788.5,46.529463907195435,282.5623444999945,0.05333223314043108,5500699488.6727295,-26.26934355607423,4.420187961846288,4.42018796184628,-18.077357947021923
2,Algeria,2.037170641766593e+16,25647692.48662484,2.2046115269190544e+16,16.241037290848375,92.40497098432304,0.12073894524459862,508894731.4221539,4.679825266220601e+16,40821774.37358464,3.508937670717402e+16,17.786433330841362,133.36872026181678,0.33620391211817163,4896119988.3413925,129.80255052600003,59.1635364268073,59.1635364268073,862.108602433106
3,Angola,1.3063030079936026e+16,14172930.737222195,1.2182696938447768e+16,6.381354054957018,107.22609407371849,0.07742191258863862,1874494007.6105163,2.1078220045883144e+16,39326029.843607694,3.3803672102819084e+16,9.17302324577073,62.35482341022149,0.15142830419471326,2185639512.579544,62.401134646933,177.47281471097733,177.47281471097733,16.598906355836018
4,Argentina,4.744144438026365e+17,32036182.176091075,2.7537501294013484e+16,33.925728297770746,1722.7940862803405,2.8117575611565324,6539490389.200214,3.2396020634334374e+17,43024828.54023288,3.698306699247068e+16,36.50521818799911,875.9690114648909,2.3273665692053243,4505329686.271373,-31.70704461967193,34.30073628543274,34.30073628543275,-31.10579849292541
5,Armenia,7610412703700250.0,2921641.295547485,2511369816620229.0,56.86274033084696,303.0383121328682,0.04510536250041548,4633777030.607477,6252311649202329.0,2463938.3931227718,2117939844268506.5,60.91639355422218,295.207234809908,0.044917310298242086,3674747349.563929,-17.84530100237012,-15.665951296698962,-15.665951296698955,-20.69650038637749
6,Australia,3.0872952584392403e+17,12499708.155725876,1.0744436637958068e+16,30.625231356733128,2873.3896084718012,1.829776875438168,3868227275.339664,3.7627540599977626e+17,22618748.01044999,1.944251032108255e+16,21.745872667392188,1935.3231644771754,2.7032048492088903,6016538295.863134,21.899764175164734,80.9542089195801,80.95420891958011,55.53735258057788
7,Austria,3.1303174165557e+16,7944847.985534667,6829192707165962.0,25.78146521186821,458.37298064103777,0.1855275230296763,10885929598.806862,1.8431163759303104e+16,8991892.950808868,7729206383191533.0,25.791928260820683,238.4612707377666,0.1324115540273736,8492214956.063647,-41.113549365106,13.178917547328458,13.178917547328467,-21.98906966113004
8,Azerbaijan,2.566119288203999e+16,6341322.702545166,5450842462040261.0,59.15708124492211,470.77480335828596,0.1520886517198639,5847983887.331536,1.770491461662405e+16,8379680.216856793,7202963622404677.0,63.086761287314594,245.80041694995185,0.12719409848039856,3860190364.313442,-30.997279990204905,32.14404328443191,32.14404328443192,-33.991090969389354
9,Bangladesh,7.937121323588998e+16,119931188.59765624,1.0308985143883037e+17,74.79319985456921,76.99226657920433,0.470416977959938,8024165907.228915,5.711990410497266e+16,181957446.05620348,1.5640607169376112e+17,73.31933314680394,36.52026004259726,0.41035581731058096,5829028631.050147,-28.034482810268816,51.718204566980646,51.71820456698067,-27.356578883808776
10,Belarus,6.558604641370143e+16,9971178.170715332,8570975476092632.0,54.41177036934922,765.2109914051584,0.38871510831741546,5615332620.133234,4.936242655268016e+16,8157587.546195405,7012058315020915.0,53.503136775107954,703.9648607447857,0.3546252258272815,4462314971.222438,-24.73638944278833,-18.188328334622675,-18.18832833462268,-20.533381135371442
11,Belgium,2.265201360228241e+16,10655538.871582033,9159234825540124.0,56.94057073448121,247.31338407350648,0.1342538604244836,13025545267.657991,1.4683064469636112e+16,13318827.58577402,1.1448531222041704e+16,53.95788928045063,128.252822871872,0.10548478705406196,9155655308.631443,-35.17987086076685,24.994406630103825,24.994406630103835,-29.710003531563157
