,%cropland,%cropland 2000,Calories,Calories 2000,Change_in_Production,Change_in_Yield,calories_per_ha,calories_per_ha 2000,ha_per_cell_5m,lat,lon,max_lat,max_lon,min_lat,min_lon,population,precip,temp_avg
0,0.0,0.0,62887290.0,4.0,62887286.36860716,16213743.360065328,16213744.0,1.0,3727.3738,-64.33,-160.916667,-64.26071428571427,-160.82606382978722,-64.33,-160.916667,1.0,425.0,9.0
0,0.0,0.0,226082196.0,12.0,226082184.1764204,19371066.65677183,19371068.0,1.0,3738.6511,-64.25,-160.916667,-64.25,-160.82606382978722,-64.31071428571428,-160.916667,1.0,434.0,4.0
0,0.0,0.0,42360965.0,0.0,42360964.87984197,10076274.667489983,10076276.0,1.0,4040.0728,-62.0,-162.0,-62.0,-162.0,-62.0,-162.0,9.000000000000002,476.0,24.0
0,0.0,0.0,222114455.0,0.0,222114454.75300705,51508998.21056003,3679215.0714285714,1.0,58178.024600000004,-61.08,-161.416667,-60.58,-161.083333,-61.58,-162.0,621.9999999999999,486.2142857142857,30.0
0,0.0,0.0,8227663.0,0.0,8227662.741199402,1851605.7452345053,1851607.0,1.0,4270.2285,-60.25,-162.0,-60.25,-162.0,-60.25,-162.0,9.000000000000002,618.0,35.0
0,0.0,0.0,998513769.0,55.0,998513713.7677039,56280291.96448764,18760098.666666668,1.0,11182.1214,-64.33,-160.75,-64.26071428571427,-160.666667,-64.33,-160.87606382978723,3.0,430.0,0.0
0,0.0,0.0,255091267.0,4.0,255091262.0580613,64366394.109974325,21455465.666666668,1.0,11407.0234,-63.58,-159.583333,-63.5,-159.54946808510638,-64.31071428571428,-160.87606382978723,3.0,442.3333333333333,9.666666666666666
0,0.0,0.0,395357506.0,0.0,395357505.2323678,94316620.02732763,11789578.625,1.0,32232.0184,-62.0,-160.0,-61.92,-159.75,-62.33,-160.87606382978723,15.999999999999998,507.5,24.375
0,0.0,0.0,237315302.0,0.0,237315302.04492468,48097825.885586046,8016305.166666667,1.0,24659.2651,-61.42,-160.416667,-61.25,-159.54946808510638,-61.73928571428571,-160.87606382978723,26.000000000000004,521.3333333333334,26.833333333333332
0,0.0,0.0,64518139.0,0.0,64518139.01356041,14519580.702017013,14519582.0,1.0,4270.2285,-60.25,-159.666667,-60.25,-159.54946808510638,-60.25,-159.666667,3.0000000000000004,677.0,3.0
