,%cropland,%cropland 2000,Calories,Calories 2000,Change_in_Production,Change_in_Yield,calories_per_ha,calories_per_ha 2000,ha_per_cell_5m,lat,lon,max_lat,max_lon,min_lat,min_lon,population,precip,temp_avg
0,0.0,0.0,51861660.0,4.0,51861656.60712764,13371090.39062561,13371091.0,1.0,3727.3738,-64.33,-160.916667,-64.26071428571427,-160.82606382978722,-64.33,-160.916667,1.0,403.0,-10.0
0,0.0,0.0,183434037.0,12.0,183434024.83419657,15716907.261522112,15716908.0,1.0,3738.6511,-64.25,-160.916667,-64.25,-160.82606382978722,-64.31071428571428,-160.916667,1.0,410.0,-15.0
0,0.0,0.0,946170731.0,55.0,946170676.6039929,54432637.28401752,18144213.0,1.0,11182.1214,-64.33,-160.75,-64.26071428571427,-160.666667,-64.33,-160.87606382978723,3.0,407.6666666666667,-18.333333333333332
0,0.0,0.0,58541965.0,4.0,58541961.09221052,15047893.773669947,15047895.0,1.0,3738.6511,-64.25,-160.833333,-64.25,-160.833333,-64.31071428571428,-160.87606382978723,1.0,404.0,-14.0
0,0.0,0.0,1145173443.0,839.0,1145172603.1024776,11395550.10600045,1424444.75,1.0,38195.890400000004,-56.25,-160.083333,-56.17,-159.833333,-56.59642857142857,-160.416667,58.0,741.625,49.125
0,0.0,0.0,5392986611.0,11769018820.0,-6376032209.300848,-2442305.830427572,1513658.3333333333,1920709.3333333333,47840.78700000001,-22.08,-159.583333,-22.0,-159.54946808510638,-22.17,-159.75,25116.0,2281.3333333333335,201.5
0,0.0,0.0,145449091.0,113.0,145448979.59821954,6097789.461018784,1219558.8,1.0,23570.749899999995,-56.67,-159.166667,-56.54642857142857,-158.27287234042552,-57.25,-159.333333,11.0,585.8,48.2
0,0.0,0.0,31056550693.0,55093565525.0,-24037014830.472034,-7315528.658832571,3933604.0,5762486.0,31896.995000000006,-22.08,-159.416667,-22.0,-159.416667,-22.17,-159.5994680851064,43331.00000000001,2604.25,231.5
0,0.0,0.0,19288913.0,19.0,19288894.536143303,2117895.962960492,1058949.0,1.0,9109.9006,-58.0,-157.083333,-58.0,-156.99627659574466,-58.08,-157.583333,2.0,576.0,42.0
0,0.0,0.0,133013521.0,93.0,133013429.59184122,7646083.109253909,1529217.6,1.0,23245.160299999996,-57.42,-157.5,-56.92,-157.5,-57.58,-157.916667,5.0,572.4,45.6
0,0.1,0.1,66524636145.0,615014496296.0,-548489860151.1526,-118706210.97253749,3573191.2,15443812.2,80067.732,-21.5,-158.0,-21.42,-157.833333,-21.58,-158.166667,1181873.0,2006.8,233.3
0,0.0,0.0,6404357.0,5.0,6404352.309281295,1355930.095800221,1355931.0,1.0,4539.0117,-58.17,-156.166667,-58.17,-156.166667,-58.17,-156.166667,1.0,694.0,39.0
0,0.15384615384615385,0.15384615384615385,32004197156.0,687027078158.0,-655022881002.6442,-179251182.98436695,1061266.923076923,14849819.461538462,104508.79840000003,-20.92,-156.416667,-20.75,-156.166667,-21.17,-156.916667,162274.0,1658.5384615384614,201.92307692307693
0,0.125,0.125,5964080985.0,307636497.0,5656444488.827138,4439501.857385248,905540.125,350602.5,64717.9329,-20.0,-155.833333,-19.58,-155.71968085106383,-20.17,-156.0,39817.0,1091.875,195.25
0,0.0,0.0,1658402135.0,1015.0,1658401119.4381855,4626457.416626536,1542153.3333333333,1.0,24389.7415,-19.17,-155.75,-19.08,-155.71968085106383,-19.17,-155.833333,1425.0000000000002,1342.0,196.33333333333334
0,0.11764705882352941,0.11764705882352941,47272638567.0,59105029303.0,-11832390739.808712,22961964.788809128,1087825.205882353,412473.35294117645,275405.6508,-19.75,-155.333333,-19.26071428571428,-155.0,-20.08,-155.76968085106384,146166.99999999997,2664.823529411765,185.85294117647058
0,0.0,0.0,3182727007.0,3610.0,3182723396.6807566,2280991.066374791,1140496.5,1.0,16252.975699999999,-19.17,-155.583333,-19.17,-155.583333,-19.310714285714276,-155.76968085106384,815.0,1626.5,192.0
0,0.0,0.0,78498775.0,0.0,78498775.26080284,20487102.889660187,20487104.0,1.0,3682.1858,-64.67,-150.75,-64.67,-150.75,-64.67,-150.75,1.0,454.0,-14.0
0,0.0,0.0,66270850.0,0.0,66270850.34801844,16983368.057496525,16983369.0,1.0,3749.9207,-64.17,-150.75,-64.17,-150.75,-64.17,-150.75,1.0,509.0,-2.0
0,0.0,0.0,44414737.0,0.0,44414736.95595735,10478906.974460056,10478908.0,1.0,4073.188,-61.75,-151.166667,-61.68928571428571,-151.166667,-61.75,-151.166667,1.0,671.0,16.0
0,0.0,0.0,278075251.0,110.0,278075141.17060035,10531540.91616323,2106309.0,1.0,21144.347999999998,-60.58,-151.083333,-60.40357142857143,-150.916667,-60.58,-151.25,17183.0,579.0,38.8
0,0.0,0.0,161313352.0,43.0,161313307.56781197,17823897.119063966,2970650.5,1.0,25675.644,-60.17,-151.083333,-60.0,-150.833333,-60.45357142857143,-151.333333,527.0,651.1666666666666,38.333333333333336
0,0.0,0.0,122918817.0,0.0,122918816.8963356,32173197.180607628,16086599.5,1.0,7341.5445,-64.33,-149.916667,-64.26071428571427,-149.916667,-65.17,-150.25,2.0,436.5,-12.5
0,0.0,0.0,124151363.0,0.0,124151363.41747126,31158535.52187892,10386179.333333334,1.0,11597.3802,-63.0,-150.166667,-62.975,-149.33670212765958,-63.92,-150.5,3.0,600.0,-18.666666666666668
0,0.0,0.0,21252037190.0,1715.0,21252035472.80803,268136609.931645,7661046.914285715,1.0,141013.5213,-62.0,-149.916667,-61.68928571428571,-149.33670212765958,-62.83,-150.66329787234042,9175.999999999996,644.8,25.314285714285713
0,0.0,0.0,13607877886.0,5831.0,13607872055.004293,85698155.38497896,2255215.5789473685,1.0,156683.13139999993,-61.42,-149.833333,-60.40357142857143,-149.33670212765958,-61.73928571428571,-150.25,363317.9999999999,540.7105263157895,41.18421052631579
0,0.0,0.0,982129047.0,38.0,982129008.0209997,174906623.4191534,13454356.846153846,1.0,47357.8509,-64.92,-148.75,-64.26071428571427,-148.06010638297872,-65.59642857142858,-149.3867021276596,918.9999999999999,345.61538461538464,-12.307692307692308
0,0.0,0.0,276331417.0,0.0,276331416.9861938,69886325.71787618,11647721.833333334,1.0,22836.5123,-63.83,-149.0,-63.25,-148.333333,-64.31071428571428,-149.3867021276596,6.0,437.3333333333333,-24.166666666666668
0,0.0,0.0,7185732486.0,867.0,7185731619.755575,348879383.4627962,9181037.421052631,1.0,153276.69119999997,-61.92,-148.916667,-61.68928571428571,-148.416667,-63.025,-149.3867021276596,5461.0,593.3947368421053,-4.131578947368421
0,0.0,0.0,20674362901.0,3471.0,20674359432.718464,387650485.01990104,8614456.311111111,1.0,184735.6281,-61.5,-149.0,-61.17,-148.25,-61.73928571428571,-149.3867021276596,52042.0,662.9555555555555,9.777777777777779
0,0.0,0.0,12208223294.0,2022.0,12208221276.97366,455838629.33625925,9496639.145833334,1.0,175498.24190000002,-64.83,-147.416667,-64.26071428571427,-146.916667,-65.25,-148.11010638297873,98893.99999999997,373.5416666666667,-10.25
0,0.0,0.0,118485766.0,8.0,118485757.96656868,23222796.74160654,11611399.5,1.0,7511.0869,-64.0,-147.75,-64.0,-147.75,-64.31071428571428,-147.833333,31.000000000000004,362.0,-25.0
0,0.0,0.0,79112603.0,13.0,79112589.79233976,6204971.292314582,6204972.0,1.0,4084.2090000000003,-61.67,-148.0,-61.67,-148.0,-61.73928571428571,-148.11010638297873,17.0,627.0,-27.0
0,0.0,0.0,4227784191.0,306.0,4227783884.4089046,202685970.21329457,13512399.0,1.0,55254.98380000001,-64.67,-145.916667,-64.26071428571427,-145.50691489361702,-65.0,-146.5,888.0,334.1333333333333,-20.333333333333332
0,0.0,0.0,104409626804.0,6998.0,104409619811.56721,569068437.1532177,12645966.333333334,1.0,170870.63439999998,-63.83,-145.75,-63.33,-145.50691489361702,-64.31071428571428,-146.166667,603.0,323.06666666666666,-22.88888888888889
0,0.0,0.0,253720484.0,4.0,253720479.47579592,60040220.75320977,15010056.25,1.0,16248.6152,-61.75,-146.0,-61.68928571428571,-145.916667,-61.92,-146.5,4.0,511.75,-11.75
0,0.0,0.0,23421147.0,0.0,23421147.047237616,5466726.181371489,5466727.0,1.0,4117.2207,-61.42,-146.166667,-61.42,-146.166667,-61.42,-146.166667,1.0,658.0,-26.0
0,0.0,0.0,5318071050.0,385.0,5318070666.950723,280575166.4691169,14028759.35,1.0,74129.5852,-64.5,-145.166667,-64.26071428571427,-144.583333,-64.83,-145.55691489361703,437.0,322.05,-27.35
0,0.06818181818181818,0.06818181818181818,542140702616.0,33609.0,542140669000.1784,1033982392.870913,11749800.931818182,1.0,334500.01,-63.75,-145.083333,-63.33,-144.5,-64.31071428571428,-145.55691489361703,1117.0,325.46590909090907,-31.78409090909091
0,0.0,0.0,8922188353.0,656.0,8922187695.858955,152852885.55425158,13895718.0,1.0,44683.43230000001,-61.75,-145.0,-61.68928571428571,-144.75,-62.5,-145.55691489361703,11.0,473.45454545454544,-6.2727272727272725
0,0.0,0.0,856838067.0,80.0,856837985.7733328,50261887.42216686,10052378.4,1.0,20432.0577,-61.67,-145.0,-61.58,-144.75,-61.73928571428571,-145.416667,5.0,528.2,-18.2
0,0.0,0.0,96444930.0,12.0,96444918.45882727,18571715.312486522,9285858.5,1.0,7645.856400000001,-63.33,-144.083333,-63.33,-144.083333,-63.92,-144.28031914893617,14.0,303.0,-35.0
0,0.0,0.0,35549824.0,8.0,35549816.705591515,4596684.515820404,4596686.0,1.0,3716.0886,-64.42,-139.75,-64.42,-139.75,-64.42,-139.75,1.0,340.0,-41.0
0,0.0,0.0,2688013954.0,323.0,2688013634.4001946,112086196.6927806,7005388.4375,1.0,60426.3338,-63.92,-139.5,-63.75,-139.12393617021277,-64.17,-139.916667,1520.0,341.5,-36.0625
0,0.0,0.0,279709320.0,60.0,279709260.0349911,42944692.21085249,4771633.555555556,1.0,34367.3413,-63.67,-138.916667,-63.42,-138.666667,-64.0,-139.17393617021278,9.0,347.8888888888889,-32.77777777777778
0,0.0,0.0,4143266554.0,1290.0,4143265262.898041,81216890.04216203,3384038.1666666665,1.0,104347.2545,-59.58,-138.083333,-59.11785714285714,-137.8473404255319,-60.25,-138.25,57.0,1547.75,24.083333333333332
0,0.0,0.0,806560807.0,104.0,806560703.6317635,35241183.139212616,7048237.8,1.0,19934.3779,-62.5,-136.75,-61.83,-136.57074468085105,-62.67,-137.083333,5.0,286.4,-20.8
0,0.0,0.0,674309065.0,382.0,674308684.0246463,16935607.141692277,2822602.3333333335,1.0,26108.709600000002,-59.5,-137.666667,-59.5,-137.583333,-60.0,-137.89734042553192,6.0,1377.0,21.0
0,0.0,0.0,497561998.0,64.0,497561932.3144275,76502632.69146575,7650264.3,1.0,38968.0704,-63.08,-136.083333,-62.975,-135.916667,-63.17,-136.416667,10.0,309.0,-26.7
