,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,492014532760.4121,492014532760.4121,6.223284083033023,113.645,23.92,113.67,23.92,inf
0,1685304122148.8467,1685304122148.8467,63.12188141362064,113.645,24.83,113.92662790697675,24.94941860465116,inf
0,30455492071011.098,30455492071011.098,14.66916962429212,113.645,26.67,113.92662790697675,26.854069767441857,inf
0,29407965477389.863,28889420166972.31,14.224649332646905,113.645,26.80406976744186,113.92662790697675,27.0,5571.243165560464
0,10243935912045.377,10243935912045.377,20.003413124034708,113.87662790697674,26.67,114.1582558139535,26.854069767441857,inf
0,35707048277562.586,35707048277562.586,48.45271178932852,113.87662790697674,26.80406976744186,114.1582558139535,27.235,inf
0,12128140010763.426,10514485707284.145,60.01023937210413,113.87662790697674,27.185000000000002,114.1582558139535,27.42,651.5946869545313
0,49194613651.67049,49194613651.67049,12.002047874420828,114.25,26.0,114.25,26.09220930232558,inf
0,154357191268.03107,154357191268.03107,4.000682624806942,114.10825581395349,26.75,114.17,26.854069767441857,inf
0,22191468821457.258,22191468821457.258,33.783542165036394,114.10825581395349,26.80406976744186,114.38988372093024,27.235,inf
0,33458793704448.664,29720331267724.53,233.3731531137383,114.10825581395349,27.185000000000002,114.38988372093024,27.615930232558135,794.9880939225721
0,43783781937643.59,36749288376665.63,78.23557132955798,114.10825581395349,27.565930232558138,114.38988372093024,27.996860465116278,522.4155521375815
0,277066443279640.97,132205872082936.25,150.24785857608293,114.10825581395349,27.94686046511628,114.38988372093024,28.25,91.26422116851604
0,117044272351.40887,117044272351.40887,32.89450158174597,114.33988372093023,22.42,114.42,22.42,inf
0,178808111616.98254,178808111616.98254,13.335608749356474,114.5,22.994767441860468,114.62151162790698,23.08,inf
0,900762605683.5227,900762605683.5227,12.891088457711257,114.33988372093023,27.08,114.62151162790698,27.235,inf
0,6576436643462.885,6576436643462.885,62.67736112197542,114.33988372093023,27.42,114.62151162790698,27.615930232558135,inf
0,48032428461648.48,48032428461648.48,80.01365249613883,114.33988372093023,27.565930232558138,114.62151162790698,27.996860465116278,inf
0,752907628760058.4,360643320979874.94,285.38202723622857,114.33988372093023,27.94686046511628,114.62151162790698,28.377790697674413,91.93885699689297
0,57298774913551.99,28140527043735.28,19.11437254074428,114.58,28.327790697674416,114.62151162790698,28.42,96.50966398726952
0,1049200766971.7444,1049200766971.7444,6.223284083033021,114.57151162790697,21.851976744186047,114.85313953488372,21.92,inf
0,15186428616996.695,15186428616996.695,128.02184399382216,114.57151162790697,27.33,114.85313953488372,27.615930232558135,inf
0,137650133883747.78,95700138119344.4,130.68896574369344,114.57151162790697,27.565930232558138,114.85313953488372,27.996860465116278,228.12907695344907
0,547906771323597.94,251345487724686.88,195.14440803224974,114.57151162790697,27.94686046511628,114.85313953488372,28.377790697674413,84.75330450235809
0,426563557897644.25,199534903853160.38,1466.0279218459214,114.57151162790697,28.327790697674416,114.85313953488372,28.758720930232556,87.8897444434761
0,268485711809645.56,126815420395456.86,8232.07128097775,114.57151162790697,28.70872093023256,114.85313953488372,28.92,89.51447698000283
0,1228710578666.0771,1228710578666.0771,6.223284083033021,115.0,21.75,115.08476744186048,21.901976744186044,inf
0,102318586710.31537,102318586710.31537,19.558892832389496,114.80313953488371,27.5,114.92,27.615930232558135,inf
0,29435467067640.82,29435467067640.82,98.23898445359268,114.80313953488371,27.565930232558138,115.08476744186048,27.996860465116278,inf
0,653495885303058.8,334411520495227.25,273.3799793618077,114.80313953488371,27.94686046511628,115.08476744186048,28.377790697674413,104.8034806395564
0,637029399868471.8,279686614489517.62,678.7824853422444,114.80313953488371,28.327790697674416,115.08476744186048,28.758720930232556,78.26843745926371
0,666949130496518.8,288089837983923.4,4931.952635803669,114.80313953488371,28.70872093023256,115.08476744186048,29.139651162790692,76.04138097638074
0,232064833333853.22,103741667263277.33,415.62647268827686,114.80313953488371,29.089651162790695,115.08476744186048,29.33,80.84406770810261
0,1588584979247.485,1588584979247.485,8.890405832904316,115.0,30.0,115.08476744186048,30.0,inf
0,2119281223716.5264,2119281223716.5264,6.667804374678237,115.03476744186047,21.75,115.17,21.75,inf
0,540637754223.7128,540637754223.7128,4.000682624806942,115.25,21.851976744186047,115.31639534883722,21.92,inf
0,18567548285989.145,18567548285989.145,52.89791470578068,115.03476744186047,27.83,115.31639534883722,27.996860465116278,inf
0,300308155116004.56,255244849895187.97,175.5855151998602,115.03476744186047,27.94686046511628,115.31639534883722,28.377790697674413,566.4139561988451
0,558737568450632.56,285824251660173.3,184.03140074111934,115.03476744186047,28.327790697674416,115.31639534883722,28.758720930232556,104.73078229437482
0,757631008096848.4,321946854461864.3,967.2761546199894,115.03476744186047,28.70872093023256,115.31639534883722,29.139651162790692,73.89455222913415
0,512573114782972.1,212260084258909.6,727.6797174232182,115.03476744186047,29.089651162790695,115.31639534883722,29.520581395348835,70.67961183319429
0,238054500779062.84,103928330402196.2,617.4386850952048,115.03476744186047,29.470581395348837,115.31639534883722,29.901511627906977,77.4854975059522
0,344497359737176.5,150174042324014.56,285.38202723622857,115.03476744186047,29.85151162790698,115.31639534883722,30.282441860465113,77.28050566609097
0,211758276799139.16,60743149573431.5,191.1437254074428,115.17,30.232441860465116,115.31639534883722,30.663372093023256,40.2232217985981
